,label_min,label_max,label_min_text,label_max_text,win_min,win_max,pair_True
0,0,7085,"

The comment directly above this one are from a very strange detractor of mine at cplsanchez.infoa fetish fan site authored by a somewhat disturbed individual who has an unrequited attraction to me.  This commentator was banned from this site under several names and is quite consistent about placing the same comment anywhere I write.  The commentator above insists on comparing the standards for entering the military with the FDA standards for donating blood, a ludicrous comparison by someone who has no working knowledge of the military.  I invite the contributors to look at the amateurish Cplsanchez.info, because it shows what the Matt Sanchez should not becomea childish hate site.  

I was recently the subject of a Fox News interview:  http://www.foxnews.com/video/index.html?playerId=videolandingpage&streamingFormat;=FLASH&referralObject;=8083220&referralPlaylistId;=7f634ca75753642edb5e38bcd9b77f712d735ea8","""::you wouldn't know Makoto from Street Fighter 3 was a girl if it wasn't for her dizzy animation.
Well, you could also read her bio... Leo's bio, on the other hand, doesn't say anything about a gender, or about the character trying to look like a boy.
It's pretty easy to come up with some evidence that Makoto is a girl, but I've yet to see somebody pull that off with Leo...
something which keeps coming up is that Leo is a boys name. Well considering the she's obviously trying to look like a boy (probably so Kazuya doesn't recognise her so her revenge will be easier to gain - yeah, yeah, speculation) it makes sense that she's actually called Leona and Leo is (a) a shortened version of that and (b) conveniently plays into the tomboy image.
Actually, I could think of a more plausible explanation for the name: if, like you just theorized, Leo wants to stay incognito, I would think she (assuming Leo's a """"she""""... still your theory)'d better change her name... Maybe she's not really called """"Leo"""" at all. Maybe the name is part of the """"boy"""" disguise. 'Seems more logical and simple to me, anyway.
Remember, in Japan tomboys will use """"boku"""" rather than """"watashi"""" and will get called """"kun"""" rather than """"chan"""" - all things that technically explicitly mark them as male.
Not sure why you're saying that... Does Leo refer to himself/herself as """"boku""""? Besides, if Leo is a girl posing as a young man, she could go as far as to call herself """"ore,"""" really...
Anyway... Namco kept Leo out of a list of the Tekken 6 women/girls, and the character has been said to be male several times in Japanese magazines. So if Leo is a girl, she's secretly a girl... and there has been no big reveal as of yet. In fact, there's even a possibility Namco is trying to keep Leo's real gender a riddle and has no intentions of confirming it one way or the other, ever. Yumeji (from the Samurai Spirits series) would be a precedent. 81.56.14.31  

""",2.0,1.0,0.0
7,4,5765," 

 koreans claim  

i see youve seen the crap they claim also....","""

Well, it appears that that vandal has resurfaced. He's been over on the Dick Cheney page posting the same pictures. Huh. Well, guys, it looks like my little plan has caused you to think twice about who can edit the Bush page. By doing my vandal streak this morning, I have succeeded in causing this cebate on whether to limit who can submit contributions to this article. Looks like you just can't keep an old Bush vandal down. Like I said, if you take the other choice, and decide not to allow only registered sers to contribute, then Ill satrt anoter one of the vandal streaks. Even if you do allow only registered members to contribute, I have a couple of registered names, that have existed for quite a while. Let the debates begin! 
Retrieved from """"http://en.wikipedia.org/wiki/Talk:George_W._Bush""""""",1.0,2.0,0.0
14,10,478," 

Im sorry but this guy is a real douchebag. Im more than appaled at his handling of the border guard cases.  "," Big Wang 
Sometimes, I prefer to insert a phallus into my rectum.  Do you think we could do this together?  -Wangbot 1.2",1.0,2.0,0.3333333333333333
16,11,468," 

NAZI WIKIPEDIA ADMINS
EVERYONE KNOWS THEY LOCK THESE ARTICLES SO ONLY THE LIBERAL NAZI WIKI ADMINS CAN CHANGE THE INFORMATION. THIS SITE IS THE WORSE WHEN IT COMES TO BEING FAIR!! ALL THE ADMINS VOTE THEIR FRIENDS IN AS ADMINS. IT IS A BIASED WEBSITE AND THEY DO NOT ALLOW INFORMATION THAT ALLOWS THEIR POLITICAL CANDIDATES TO LOOK BAD. THIS IS WHAT THEY DO IN CHINA AND NOW ON WIKIPEDIA."," Batteries 

I see you dont like me battery boy.",1.0,2.0,0.3333333333333333
29,17,11181," 

This block is unjustified, is because he is extremist, and always like bloking me!!",REALLY REALLY ANGRY NOW GRRRRRRRRRRRR,3.0,0.0,0.3333333333333333
31,19,3877," 

You know what???!!! Stuff Wikipedia I'm not coming on it ever again I give it 0/10 and I'm warning anyone who tries please don't try and persuade them to add more decent non-canonical spells unless you want them to reply (if they ever do) with nasty sexually harassing messages and rude remarks!!! I have been sexually harassed and offended by Wikipedia and I'm definitely reporting them to the police!!!","""

 Anti Zionism 

BS""""D

I am glad to see that me and  and  aren't the only ones. Though, from what you said on the NK page, you seem to shift towards NK rather than HaEdah Hachareidis. 

 """,2.0,1.0,0.3333333333333333
36,24,8594," 

thats my info not you guys if it is then i wouldnt have made so you cant steal anythign that i have for info get you own i will sue every oen of you for fraud and stealing","DreamGuy, screamGuy

I see he just cannot stay away... his skeptical hackles are up. He nitpicks and instead of helping with minor edits, he deletes. WHAT A GUY!!!!!

He should improve his own bad page, Mythology, which needs BIG TIME HELP. 

hAPPY nEW yEAR, DG.

beckjord ",2.0,1.0,0.3333333333333333
39,26,5856," 
 Hey, wow...that's pretty evil. But can you throw the yuppie-skins into the washing machine?  ","""

You are Wiki-Lawyering, and frankly if anybody is doing the harassing here, it's you.  You have repeatedly minimized my arguments by claiming that I am Sockpuppeting, Meatpuppeting, and making personal attacks when I am attacking the material of the article and its source.  
'You are passive aggressive' is not an egregious personal attack, and 'you didn't read what I wrote and you are being deliberately obtuse' isn't a personal attack at all.  (Seriously, How is """"You're deliberately not reading what I wrote"""" possibly offensive to anybody?)  
I didn't come here to create drama, I didn't claim that I did.  I claimed that a particular website made me aware of something on wikipedia that I thought was wrongly included in an article.  I've made legitimate criticisms, and my comments are directly responsible for the creation of the Crucifixion in Art page.  I argued civilly enough and generated enough consensus among the majority of wiki users to remove the offending material from the original Crucifixion page and have it moved to a new page.  When I got around to looking at that new page I found that it had not been cleaned up and contained questionable claims from an unreliable tertiary source, so I made an argument on the discussion page and removed the offending material.  Because I didn't make an edit summary, I found my revision rather rudely reverted by a member of one of your user:groups.  I reacted and Alan pointed out my mistake: a simple oversight by a novice user, one that might have been cleared up when I read Alan's talk page had you not immediately jumped in and made baseless claims against me.  68.114.130.234  """,2.0,1.0,0.0
43,29,11865," 
CANT BLOCK ME NIGGA","Theres nothing rude or uncivilized about my above comment. You reverted my edit plain and simple. I know your new to wikipedia and im trying to help you but do not undo edits ex if you dont know what you are doing. If you feel so strongly about it take it to the talk page otherwise let it die. Also note saying people are rude and uncivilized, if you say it to the right person, will get you blocked. Im sorry if I come off mean but you shouldnt just undo peoples edits ex when you are in the wrong/dont know what you are doing which is obviously the case here.  ",1.0,2.0,0.3333333333333333
49,33,13447," 
GET SOME GLASSES YOU MENTAL FAGOTs, IM Calling you the idiots SHITheads!!!!! What the F@#%k is wrong with you.","hELLO, TIPTOY, I HOPE YOU DIE. YOU ARE BEING SUCH A FREAKIN JEW, AND PLEASE, PLEASE GET OFF YOUR FATASS AND STOP MASTURBATING, BECAUSE ITS REALLY GETTING BAD. THE SEMINAL FLUID IS EVERYWHERE, BUT THEN AGAIN, I GUESS YOU LIKE IT THAT WAY, YOU FATASS MOTHER F****ER. GET A F***ING LIFE, AND GO FUCK YOURSELF, (YOU PROBABLY DO ANYWAY)",2.0,1.0,0.0
57,41,4349," 
Oh I would like to ad that the reason for my block that scusssey refered to was that I was judged to be a sockpuppett something which was later apologized for and reversed so I can not see how that is relevant.  ","""

 Re:Sorry about... 

Oh, it's no problem, mate. I've done it a few times myself, actually ). of course, the good thing is that means too many people are trying to revert vandalism, rather than not enough. Cheers, |Black """,1.0,2.0,0.3333333333333333
60,42,13547," 
Okay then. How come you hate Christians? How come you hate Hindus? How come you hate Jewish people? How come you hate Muslims? How come you intolerate religion?

YOU EVEN SAY SO YOURSELF",i completely agree with gilabrand u guys are all anti-israeli fucker why dont you and your anti-semitic freinds fuck off so that we could show israel tyo what it really is.,2.0,1.0,0.0
64,44,2012," 
Reply: Shut up, shut up, SHUT UP! - ClayMort"," RBI 

MY BUM

LOL IM NOT STOPING",1.0,2.0,0.3333333333333333
65,45,12646," 
Thanks for blocking me. I called Tao an idiot and a dumb bastard because I truly belive he/she is one. You have these rules to prevent harassment. Fine. I was just doing it for fun, got it out of my system, I'll quit now. However, you should seriously consider a NDB&LP; rule, or No Dumb Bastards and Lazy People. Wikipedia is currently a laughing stock, a punchline to a joke. The reason is that it facilitates lazy people like Tao. If you read the entire entry, my intention is to improve the page. I provide sources, I provide a sound argument, I provide what's necessary to provide in circumstances like this in order to improve the page. What does Tao provide? Nothing. He clearly has not read the page, he clearly does not know the subject, and he clearly is uninterested in doing what needs to be done in circumstances like this: making valid claims supported with evidence. True, I don't take Wikipedia seriously, but I believe in its potential. I wouldn't do anything that I believe harms it in a substantial way. Tao, on the other hand, is an insidious virus who does little but undermine the value of Wikipedia. In a just world, he would be the one being blocked. This is not a genuine appeal against being blocked because I'm the one who asked for it. This is an appeal for you to actually read the conversation, read my swear-filled diatribe as me antagonizing someone who is genuinely very, very, very lazy in what he is doing (how long did it take to get me blocked after I even begged and taunted?)  please tell me, of the two of us who really should be blocked? Of the two of us, who is doing the most harm? Thank you.  ",Yahhhh bitch Yahhhhh!!!! 172.168.138.9  ,1.0,2.0,0.3333333333333333
73,51,1045,"  

 That's because 

This is NO place to put episodes. And think of it before you curse.I don't curse.IT'S MAH MOM WHO HECKIN' CURSE ON MAH PAGE."," HLS 

Can you remove the protection on HLS so i can rape it to shit again,

the protection should have expired on the 2nd94.168.208.187  ",2.0,1.0,0.0
