sentence,nes
Since analysis of data distribution for neuronal volumes revealed signiWcant departures from normal distribution with signiWcant right skewness we used parametric and non parametric Kruskal Wallis ANOVA to test the null hypothesis,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Healthy volunteers 257 men and 243 women 19 90 y from the Baltimore Longitudinal Study of Aging BLSA 6 participated in the study including 427 Caucasians 59 African Americans and 14 individuals of other races,O O O O O O O O O O O O B I I I I I O O O O O O O O O O O O O O O O O
For instance in the raw data it is unclear whether the outcomes of mixed race children differ from those of whites because those of mixed race are less likely to come from two parent households,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
SLOSH model,B I
edu database consisting of MR images and their corresponding expert manual labels produced with a standard harmonized protocol,O O O O O O O O O O O O O O O O O O
This study examined associations between carotid IMT and longitudinal trajectories of cognitive function among community dwelling individuals without clinical vascular or neurological disease,O O O O O O O O O O O O O O O O O O O O O O O
Each dataset followed a defined cohort of students across a defined timeframe for example HS B sampled students who were high school sophomores in 1980 and followed them until 1992 and BPS89 sampled students who were entering college for the first time in 1989 1990 and followed them until 1993,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Previous studies have found that the SLOSH model estimates storm surges with an accuracy of 20,O O O O O O B I O O O O O O O O
This study developed new cutpoints for appendicular lean mass ALM with and without BMI adjustment based on the reported less conservative FNIH strength cutpoints using data from the Baltimore Longitudinal Study of Aging BLSA,O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I I I
Staff were sensitive to the fact that data users find longitudinal data particularly useful when they contain measures of the same variables over time and are very aware that their data would be more useful if they provided more detail in their public use microdata sets,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The original unmodified version of the SLOSH model accurately simulates the maximum storm surges of this storm at three of the sites with errors of 0,O O O O O O B I O O O O O O O O O O O O O O O O O O
The authors acknowledge the limitations of the study to assess mitochondrial function,O O O O O O O O O O O O
But for the purposes of this study the GSOEP remains the only data set available that enables us to test whether intra and extra familial social capital shape educational outcomes in Germany,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Our method has been tested on the Baltimore Longitudinal Study of Aging BLSA data 5,O O O O O O O B I I I I I O O
Vitamin B6 was only measured in the InCHIANTI study thus the GWA of 484 115 autosomal SNPs was assessed with a Bonferroni corrected p value threshold of 1 3 10,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The position that there are no normative trends in personality traits derived almost exclusively from the arguments of Costa and McCrae 1988 and their ongoing Baltimore Longitudinal Study of Aging BLSA,O O O O O O O O O O O O O O O O O O O O O O O O O B I I I I I
Using longitudinal data from the Department of Education National Education Longitudinal Study of 1988 NELS 88 we then identify 1992 high school seniors who have these characteristics,O O O O O O O O B I I I O O O O O O O O O O O O O O O
Data on 644 non Hispanic Caucasian adults from the Baltimore Longitudinal Study of Aging BLSA were used,O O O O O O O O O B I I I I I O O
In practice the SLOSH model is used to produce both deterministic and probabilistic storm surge forecasts,O O O B I O O O O O O O O O O O
Methods Relationships of RVD with walking performance were assessed in 326 women and 365 men aged 26 96 years enrolled in the Baltimore Longitudinal Study of Aging,O O O O O O O O O O O O O O O O O O O O O O O O O O O
The model horizontal resolution is 1 60 and the bathymetry is interpolated from the NOAA ETOPO2 data set,O O O O O O O O O O O O O O O O O O
For this study we used the National Education Longitudinal Study NELS another large scale nationally representative longitudinal dataset,O O O O O O B I I I O O O O O O O O
Among GAP NLCD and NOAA C CAP data the use of NOAA C CAP data resulted in least error at all scales of analysis,O O O O B I I O O O O B I I O O O O O O O O O O
3 16 The present study was designed to test this hypothesis in the Baltimore Longitudinal Study of Aging BLSA a volunteer community dwelling population of men and women representing a broad age range,O O O O O O O O O O O O O B I I I I I O O O O O O O O O O O O O O
Geological Survey USGS the NOAA National Geophysical Data Center NGDC Tsunami inundation DEMs and Light Detection and Ranging LIDAR data from the US Army Corps of Engineers USACE or from state and local sources if available and the bathymetry from NGDC 3 arc second Coastal Relief Model,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
